query	gsc_clicks	gsc_impressions	gsc_position	live_api_results
pusat komuniti setiawangsa	0	185	9.6	0
garden wedding	0	147	29.8	1
garden wedding kl	0	116	49.3	0
garden wedding malaysia	0	116	41.2	0
garden wedding kuala lumpur	0	105	46.5	0
dewan komuniti setiawangsa	0	103	9.0	0
mas kahwin perak	0	66	7.8	1
mas kahwin johor	0	52	6.5	1
mas kahwin kelantan	0	45	6.6	1
mas kahwin terengganu	3	35	6.1	0
wedding garden	0	28	30.1	0
checklist kahwin	1	26	7.9	1
garden wedding in kl	0	25	45.6	0
mas kahwin ikut negeri	0	24	14.1	1
mas kahwin sabah	0	22	16.6	1
outdoor wedding venue	0	21	37.9	0
idea goodies kahwin	2	19	9.2	1
garden wedding venue kl	0	19	47.1	0
mas kahwin pahang 2026	0	19	8.3	0
walimatul urus	0	19	10.3	1
outdoor wedding locations	0	18	47.9	0
outdoor wedding places	0	18	48.7	0
garden venue for wedding	0	17	44.5	0
mas kahwin johor 2026	0	16	6.8	1
maskawin setiap negeri	0	14	9.8	0
mas kahwin perak 2026	0	13	6.1	1
mas kahwin negeri sembilan	0	12	18.2	0
outdoor wedding	0	12	31.0	0
doa selepas akad nikah rumi	0	10	10.3	0
garden wedding venues	0	10	34.9	0
maksud walimatul urus	0	10	9.5	0
mas kahwin kelantan 2026	0	10	7.0	0
mas kahwin negeri perak	0	10	17.3	0
mas kahwin negeri sembilan 2026	0	10	8.3	0
mas kahwin sarawak	0	10	6.6	0
mas kawin johor	0	9	6.6	0
mas kahwin ikut negeri 2026	0	8	10.8	1
waris di hari perkahwinan	0	8	12.8	0
花园婚礼 马来西亚 地点	0	8	29.4	0
harga sewa dewan kahwin	1	7	2.4	1
hantaran tunang 3 balas 5	0	7	6.9	1
mas kahwin negeri kelantan	0	7	4.9	0
doa pengantin baru rumi	1	6	3.2	0
doa selamat untuk pengantin baru	0	6	8.0	0
hantaran tunang untuk perempuan	0	6	7.5	1
mahar ikut negeri	0	6	10.7	0
mas kahwin setiap negeri 2026	0	6	10.8	0
dewan	0	5	48.0	5
dewan kahwin murah	0	5	6.2	1
dewan pusat komuniti setiawangsa	0	5	8.6	0
dulang hantaran tunang	0	5	9.2	1
lafaz taklik nikah perak	0	5	9.0	0
mas kahwin perlis	0	5	11.0	0
mas kahwin sarawak 2026	0	5	9.8	0
mas kawin sabah	0	5	33.6	0
outdoor wedding venues	0	5	48.2	0
doa pengantin	1	4	10.8	1
beautiful wedding venues	0	4	49.2	0
dewan perdana keramat mall	0	4	17.0	0
dewan setiawangsa	0	4	7.8	0
dewan setiawangsa au2	0	4	5.5	0
hantaran ikut negeri	0	4	10.5	0
mas kahwin kedah 2026	0	4	9.8	0
mas kahwin kl	0	4	32.0	0
mas kahwin melaka 2026	0	4	11.0	0
mas kahwin setiap negeri	0	4	15.8	0
mas kahwin terengganu 2026	0	4	8.2	0
mas kawin perak	0	4	15.2	0
mas kawin setiap negeri	0	4	9.5	0
tempat honeymoon di malaysia	0	4	10.2	1
hantaran kahwin 5 balas 7	1	3	3.7	1
contoh goodies kahwin terkini	0	3	7.3	0
de kenduri kuala lumpur	0	3	37.3	0
dewan keramat	0	3	6.7	0
doa nikah kahwin	0	3	11.0	0
garden wedding venue	0	3	20.0	0
hantaran tunang	0	3	18.3	7
kad digital	0	3	84.7	0
kos kahwin 2026	0	3	5.3	0
kursus kahwin online	0	3	31.0	0
lafaz taklik perak	0	3	8.7	0
mahar johor	0	3	7.7	0
mas kahwin negeri	0	3	19.3	0
mas kahwin negeri pahang	0	3	10.0	0
mas kahwin sabah 2026	0	3	8.7	0
mas kawin kelantan	0	3	6.3	0
maskawin ikut negeri	0	3	10.0	0
negeri sembilan mas kahwin	0	3	6.7	0
outdoor wedding malaysia	0	3	41.0	0
7 amazing places to have a garden wedding in malaysia	0	2	33.5	0
apa maksud walimatul urus	0	2	9.0	0
bayaran tok kadi dan saksi johor 2026	0	2	10.0	0
budget wedding venue kl	0	2	91.0	0
cara daftar kursus kahwin	0	2	20.5	0
dewan bunga sakura	0	2	30.5	0
dewan kahwin murah kl	0	2	7.5	0
dewan murah near me	0	2	11.0	0
dewan perdana keramat hall	0	2	9.5	0
dewan serbaguna setiawangsa	0	2	20.0	0
doa akad nikah	0	2	11.0	0
doa selepas nikah rumi	0	2	10.0	0
dulang tunang untuk lelaki	0	2	9.0	0
garden wedding venue malaysia	0	2	23.5	0
goodies kahwin	0	2	9.0	1
hantaran 7 balas 5	0	2	4.5	0
hantaran kahwin	0	2	53.0	5
hantaran kahwin 3 balas 5	0	2	19.5	0
hantaran lelaki 3 perempuan 5	0	2	3.5	0
hantaran tunang untuk lelaki	0	2	22.5	1
hantaran tunang untuk lelaki simple	0	2	9.5	0
harga hantaran kahwin 2026	0	2	10.0	0
honeymoon di malaysia	0	2	11.5	1
kadar mas kawin setiap negeri	0	2	10.5	0
kahwin	0	2	35.0	20
kedai barang kahwin	0	2	11.0	0
makna taaruf dalam islam	0	2	10.0	0
mas kahwin kedah	0	2	10.0	0
mas kahwin negeri johor	0	2	6.0	0
mas kahwin negeri perak 2026	0	2	5.0	0
mas kahwin negeri terengganu	0	2	5.5	0
mas kawin negeri perak	0	2	6.0	0
pusat komuniti setiawangsa photos	0	2	1.5	0
pusat komuniti setiawangsa reviews	0	2	9.0	0
rukun nikah	0	2	19.0	1
sewa dewan	0	2	53.5	2
