url	cat	title	title_chars	n_h1	toc_items	n_h2	n_h3	n_para	body_chars	figs	tables	rel_n	photos	has_next_bar	longest_word
/artikel/busana-pengantin/baju-pengantin-sewa-atau-beli	busana-pengantin	Baju pengantin: sewa atau beli, dan kos sebenar 2026	52	2	12	8	4	57	7861	2	1	1	3	yes	membandingkan
/artikel/busana-pengantin/inai-tangan-pengantin	busana-pengantin	Inai tangan pengantin: mana selamat, berapa lama tahan	54	2	14	10	4	75	8827	3	1	2	4	yes	fenilenadiamina
/artikel/busana-pengantin/songket-tenunan-tangan-atau-cetak	busana-pengantin	Kain songket tenunan tangan atau cetak: beza dan harga	54	2	13	9	4	67	9567	4	1	1	5	yes	sampinexclusive
/artikel/fotografi-videografi/lokasi-pre-wedding-photoshoot-terbaik	fotografi-videografi	20 Lokasi Terbaik Pre Wedding Photoshoot di Malaysia – Dari Alam Semula Jadi Hingga Urban City!	95	2	21	21	0	76	10593	16	0	0	20	no	bereksperimentasi
/artikel/glamor-eksklusif/amankila-bali	glamor-eksklusif	Majlis Perkahwinan Mewah dan Berkonsep Organik di Amankila, Bali	64	2	0	0	0	28	7937	0	0	1	44	yes	berinspirasikan
/artikel/glamor-eksklusif/grand-hyatt-kuala-lumpur	glamor-eksklusif	Majlis Perkahwinan Putih Bergaya di Grand Hyatt Kuala Lumpur	60	2	0	0	0	9	665	0	0	1	19	yes	menampilkan
/artikel/hantaran-mas-kahwin/adat-hantaran-berbeza-negeri	hantaran-mas-kahwin	Adat hantaran berbeza negeri: bila dua keluarga tak sama	56	2	10	6	4	51	7524	2	1	6	3	yes	mempertahankan
/artikel/hantaran-mas-kahwin/adat-hantaran-ikut-keluarga	hantaran-mas-kahwin	Adat hantaran ikut keluarga: bila dua senarai berbeza	53	2	10	6	4	40	6689	2	1	6	3	yes	pemetaanbudaya
/artikel/hantaran-mas-kahwin/apa-itu-mas-kahwin	hantaran-mas-kahwin	Maksud mas kahwin: hak isteri dan beza dengan hantaran	54	2	0	0	8	65	7545	3	1	6	4	yes	mengakadnikahkan
/artikel/hantaran-mas-kahwin/barang-hantaran-berguna	hantaran-mas-kahwin	Barang hantaran yang digunakan, dan yang tersimpan	50	2	13	9	4	36	6934	2	0	6	3	yes	menyenaraikan
/artikel/hantaran-mas-kahwin/barang-hantaran-perempuan	hantaran-mas-kahwin	Barang hantaran perempuan: senarai ikut kategori dan kos	56	2	15	8	7	69	8647	2	2	6	3	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/barang-hantaran-tunang	hantaran-mas-kahwin	Barang hantaran tunang: disimpan, dipulang atau dibawa ke nikah	63	2	10	7	3	32	5746	2	0	5	3	yes	menyenaraikan
/artikel/hantaran-mas-kahwin/berapa-dulang-hantaran-tunang	hantaran-mas-kahwin	Berapa dulang hantaran tunang, dan siapa yang tentukan	54	2	12	8	4	40	6588	2	0	5	3	yes	menetapkannya
/artikel/hantaran-mas-kahwin/bilangan-dulang-hantaran-ganjil	hantaran-mas-kahwin	Bilangan dulang hantaran ganjil: adat, atau boleh genap?	56	2	10	6	4	27	6359	2	0	6	3	yes	menyelesaikannya
/artikel/hantaran-mas-kahwin/cara-tetapkan-duit-hantaran	hantaran-mas-kahwin	Cara tetapkan jumlah duit hantaran tanpa jatuh air muka	55	2	10	6	4	30	7807	2	0	6	3	yes	mencadangkannya
/artikel/hantaran-mas-kahwin/duit-hantaran-kahwin	hantaran-mas-kahwin	Duit hantaran kahwin: beza dengan mas kahwin dan hak siapa	58	2	11	7	4	54	8747	2	1	6	3	yes	ketidakselarasan
/artikel/hantaran-mas-kahwin/dulang-hantaran	hantaran-mas-kahwin	Dulang hantaran: jenis, saiz dan kos beli atau sewa	51	2	17	8	9	88	9684	3	2	6	4	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/gubahan-hantaran	hantaran-mas-kahwin	Gubahan hantaran: cara susun dan cara baca sebut harga	54	2	12	8	4	78	8902	3	2	6	4	yes	menyelesaikannya
/artikel/hantaran-mas-kahwin/gubahan-hantaran-simple	hantaran-mas-kahwin	Gubahan hantaran simple tapi cantik: 6 gaya dan harganya	56	2	15	11	4	80	10729	3	2	6	4	yes	jvcraftandgifts
/artikel/hantaran-mas-kahwin/hantaran-coklat	hantaran-mas-kahwin	Hantaran coklat: cara ia tahan sepanjang petang yang panas	58	2	13	9	4	124	12453	2	3	6	3	yes	jvcraftandgifts
