item	agent	mode	worktree	handle
SEO-14	head-of-seo-content	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/seo14-census	term_005ee4d9-8f0c-46a7-998f-2591707a3b14
CONT-18	writer-adat-agama-prosedur	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/cont18-nikah	term_82892868-c8b0-465a-8776-02911501bfff
COPY-01	managing-editor	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/copy01-line	term_456d88c2-e40a-4997-824a-72ee52139870
UI-19	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui19-rail	term_89860755-e71b-41bd-8fea-1a80f2186ca0
UI-15	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui15-grid	term_d3df3acc-4f59-49da-af91-8aa3e31f3596
UI-16	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui16-cover	term_83fc055a-a23c-4f25-8d6d-d6c93c4bf824
UI-20	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui20-favicon	term_9293f6ee-25b1-4bf2-8673-1675418d813a
DES-15	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/des15-h2weight	term_b2627847-5a92-4700-aa18-8277d9a93de2
CONT-15	creative-director	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/cont15-portrait	term_c5ff6566-8f34-463a-a202-f6750b457cf8
PLAT-16	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/plat16-pillarcache	term_e1135035-1890-4d5c-98f6-7b6ae5718bbd
