### AFTER-local-flat-plate :: http://localhost:3287/ :: Slow 3G (400kbps, 400ms RTT)
  ms   imgs  painted  blurred  flatPlates
   719    13        0       12           1
  1442    13        0       12           1
  2145    13        0       12           1
  2858    13        0       12           1
  3572    13        0       12           1
  4284    13        0       12           1
  4997    13        0       12           1
  5711    13        0       12           1
  6413    13        0       12           1
  7128    13        0       12           1
  7841    13        0       12           1
  8556    13        0       12           1
  9272    13        0       12           1
  9985    13        0       12           1
