### AFTER-prod-flat-plate :: https://hellokahwin.com/ :: Slow 3G (400kbps, 400ms RTT)
  ms   imgs  painted  blurred  flatPlates
   716    13        0       13           0
  1442    13        0       13           0
  2151    13        0       13           0
  2865    13        0       13           0
  3568    13        0       13           0
  4285    13        0       13           0
  5000    13        0       13           0
  5716    13        0       13           0
  6419    13        0       13           0
  7134    13        0       13           0
  7849    13        0       13           0
  8550    13        0       13           0
  9258    13        0       13           0
  9975    13        0       13           0
