# Ahrefs serp-overview, country=my, tool run 2026-08-28. Organic positions <=10 only.
# snapshot_date is the update_date Ahrefs returned for that SERP - a cached crawl, not a live pull.
# query	snapshot_date	position	url
barang hantaran lelaki	2026-08-11	2	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
barang hantaran lelaki	2026-08-11	3	https://story.motherhood.com.my/my/barang-hantaran-lelaki/
barang hantaran lelaki	2026-08-11	6	https://www.zalora.com.my/blog/lifestyle/idea-barang-hantaran-lelaki-sesuai-untuk-bertunang-nikah/
barang hantaran lelaki	2026-08-11	7	https://www.tiktok.com/@kelopak.hantaran/video/7499287148483464449
barang hantaran lelaki	2026-08-11	8	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
barang hantaran lelaki	2026-08-11	9	https://shop.tiktok.com/my/k/barang-hantaran-kahwin-lelaki
barang hantaran lelaki	2026-08-11	10	https://www.lazada.com.my/tag/barang-hantaran-lelaki/
hantaran untuk lelaki	2026-08-18	2	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
hantaran untuk lelaki	2026-08-18	3	https://story.motherhood.com.my/my/barang-hantaran-lelaki/
hantaran untuk lelaki	2026-08-18	6	https://www.zalora.com.my/blog/lifestyle/idea-barang-hantaran-lelaki-sesuai-untuk-bertunang-nikah/
hantaran untuk lelaki	2026-08-18	7	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
hantaran untuk lelaki	2026-08-18	8	https://ecentral.my/barang-hantaran-lelaki/
hantaran untuk lelaki	2026-08-18	9	https://www.lemon8-app.com/@ieysha_dania2/7316024336404464130?region=my
hantaran untuk lelaki	2026-08-18	10	https://thekenduri.com/idea-barang-hantaran-bagi-pihak-lelaki/
barang hantaran perempuan	2026-08-05	2	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
barang hantaran perempuan	2026-08-05	3	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
barang hantaran perempuan	2026-08-05	4	https://www.instagram.com/p/DQDUkVBk-o-/
barang hantaran perempuan	2026-08-05	6	https://www.love-and-co.com.my/blogs/news/idea-barang-hantaran-kahwin-menarik
barang hantaran perempuan	2026-08-05	7	https://lanaianggun.com/blog/IDEA-BARANG-HANTARAN-UNTUK-BAKAL-PENGANTIN
barang hantaran perempuan	2026-08-05	8	https://www.pinterest.com/nabillacomel/hantaran-kahwin/
hantaran untuk perempuan	2026-07-15	1	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
hantaran untuk perempuan	2026-07-15	3	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
hantaran untuk perempuan	2026-07-15	4	https://www.instagram.com/p/DQDUkVBk-o-/
hantaran untuk perempuan	2026-07-15	5	https://www.pinterest.com/nabillacomel/hantaran-kahwin/
hantaran untuk perempuan	2026-07-15	6	https://lanaianggun.com/blog/IDEA-BARANG-HANTARAN-UNTUK-BAKAL-PENGANTIN
hantaran kahwin	2026-08-21	2	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
hantaran kahwin	2026-08-21	4	https://www.pinterest.com/nabillacomel/hantaran-kahwin/
hantaran kahwin	2026-08-21	5	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
hantaran kahwin	2026-08-21	6	https://shopee.com.my/r.a.ahantaranmurah
hantaran kahwin	2026-08-21	7	https://www.love-and-co.com.my/blogs/news/idea-barang-hantaran-kahwin-menarik
hantaran kahwin	2026-08-21	8	https://www.facebook.com/mingguanwanita/posts/duit-hantaran-hak-siapa-sebenarnya-.../1107118098127056/
hantaran kahwin	2026-08-21	9	https://mhf.org.sg/ms/wang-hantaran-in-malay-weddings/
hantaran kahwin	2026-08-21	10	https://loanstreet.com.my/ms/pusat-pembelajaran/panduan-duit-hantaran-mas-kahwin
barang hantaran	2026-08-25	2	https://nikahsatu.com/17-idea-hantaran-kahwin-yang-menarik/
barang hantaran	2026-08-25	5	https://lanaianggun.com/blog/IDEA-BARANG-HANTARAN-UNTUK-BAKAL-PENGANTIN
barang hantaran	2026-08-25	6	https://songketdunia.my/blogs/news/hantaran-kahwin-lelaki-hantaran-kahwin-perempuan
barang hantaran	2026-08-25	7	https://www.facebook.com/ViralOhViralReal/posts/senarai-barang-hantaran-yang-ringkas.../695669037460984/
barang hantaran	2026-08-25	8	https://sitikhadijah.com/blogs/fact-tips/idea-hadiah-hantaran-tunang-dan-kahwin
barang hantaran	2026-08-25	9	https://www.pinterest.com/nadia_sriaddari/hantaran-idea/
barang hantaran	2026-08-25	10	https://www.ppsignature.com/blogs/latest-blog/tips-memilih-dulang-hantaran-barang-wajib-dalam-hantaran
