keyword	volume	volume_monthly	difficulty	parent_topic	parent_volume	traffic_potential	source
hantaran kahwin bajet	0	1	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
kos hantaran kahwin	0	1	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
adat hantaran	0	3	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
persiapan hantaran	0	1	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
adat hantaran kahwin	20	22	0	balas hantaran	30	40	keywords-explorer-overview, my, 2026-08-29
balas hantaran	20	15	0	adat hantaran kahwin	20	30	keywords-explorer-overview, my, 2026-08-29
senarai barang hantaran lelaki bajet	20	17	0	hantaran untuk lelaki	800	400	keywords-explorer-overview, my, 2026-08-29
barang hantaran lelaki bajet	10	7	0	hantaran tunang	4800	600	keywords-explorer-overview, my, 2026-08-29
dulang hantaran murah	30	3	0	hantaran kahwin	3200	250	keywords-explorer-overview, my, 2026-08-29
harga hantaran kahwin mengikut negeri	30	8	0	hantaran kahwin	2000	200	keywords-explorer-overview, my, 2026-08-29
checklist kahwin	800	603	0	checklist kahwin	900	400	keywords-explorer-overview, my, 2026-08-29
persediaan kahwin	30	23	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
adat pertunangan	10	3	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
kos hantaran	NO_ROW	-	-	-	-	-	keywords-explorer-overview, my, 2026-08-29 (not returned - Ahrefs holds no record)
belanja hantaran kahwin	0	1	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
perbelanjaan hantaran	NO_ROW	-	-	-	-	-	keywords-explorer-overview, my, 2026-08-29 (not returned)
tempahan hantaran	0	1	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
minggu sebelum kahwin	NO_ROW	-	-	-	-	-	keywords-explorer-overview, my, 2026-08-29 (not returned)
jadual persiapan kahwin	NO_ROW	-	-	-	-	-	keywords-explorer-overview, my, 2026-08-29 (not returned)
timeline kahwin	NO_ROW	-	-	-	-	-	keywords-explorer-overview, my, 2026-08-29 (not returned)
senarai semak kahwin	0	2	null	null	null	null	keywords-explorer-overview, my, 2026-08-29
