group	keyword	volume(12mo avg)	volume_monthly	difficulty	parent_topic	traffic_potential
english-loanword (what the page ranks for today)	garden wedding	500	432	0	garden wedding kl	350
english-loanword (what the page ranks for today)	garden wedding malaysia	150	134	0	garden wedding malaysia	150
english-loanword (what the page ranks for today)	garden wedding kuala lumpur	150	148	None	None	None
english-loanword (what the page ranks for today)	garden wedding kl	150	98	7	garden wedding kl	350
english-loanword (what the page ranks for today)	wedding garden	80	62	0	garden wedding kl	350
english-loanword (what the page ranks for today)	garden wedding venue kl	70	92	0	garden wedding kl	350
english-loanword (what the page ranks for today)	garden wedding venue	70	21	0	wedding venues	150
english-loanword (what the page ranks for today)	garden wedding in kl	60	49	7	garden wedding kl	350
english-loanword (what the page ranks for today)	outdoor wedding malaysia	50	38	0	garden wedding kl	350
english-loanword (what the page ranks for today)	tema garden wedding	40	35	0	garden wedding	20
english-loanword (what the page ranks for today)	garden wedding venues	30	29	0	wedding venues	150
malay-first rewrite candidates	konsep garden wedding	0	1	None	None	None
malay-first rewrite candidates	majlis kahwin outdoor	0	1	None	None	None
malay-first rewrite candidates	garden wedding murah	0	1	None	None	None
malay-first rewrite candidates	perkahwinan di taman	0	1	None	None	None
malay-first rewrite candidates	venue garden wedding	0	1	None	None	None
malay-first rewrite candidates	majlis kahwin luar	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	majlis perkahwinan taman	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	tempat kahwin taman	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	venue kahwin outdoor	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	tempat kahwin outdoor	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	tempat kahwin konsep garden	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	majlis kahwin di taman	NO ROW	NO ROW	-	-	-
malay-first rewrite candidates	pakej kahwin outdoor	NO ROW	NO ROW	-	-	-
malay venue terms (the wider replacement option)	dewan kahwin	350	309	13	bizmilla	250
malay venue terms (the wider replacement option)	tempat kahwin	30	24	None	None	None
malay venue terms (the wider replacement option)	tempat perkahwinan	20	21	None	None	None
malay venue terms (the wider replacement option)	venue kahwin	20	5	None	None	None
malay venue terms (the wider replacement option)	tempat kahwin murah	0	1	None	None	None
malay venue terms (the wider replacement option)	tempat kahwin cantik	0	1	None	None	None
malay venue terms (the wider replacement option)	venue perkahwinan	0	1	None	None	None
malay venue terms (the wider replacement option)	tempat majlis kahwin	0	1	None	None	None
