query,cluster,intent_class,intent_class_gate,landing_page,impressions,clicks,position,actual_ctr_pct,serp_data,ai_overview_present,ai_overview_position,paa_present,image_pack_present,expected_ctr_pct,ratio_actual_over_expected,serp_update_date,tier
walimatul urus maksud,walimatul-urus,definition,definition,/artikel/ucapan-doa/walimatul-urus,236,0,8.87,0.0,yes,true,1,false,true,1.926,0.0,2026-08-05T15:01:54Z,dod
mas kahwin johor,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,214,1,6.36,0.467,yes,true,3,true,true,3.896,0.12,2026-08-09T11:35:09Z,dod
mas kahwin perak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,199,0,8.41,0.0,yes,true,1,true,true,2.018,0.0,2026-08-20T04:52:59Z,dod
mas kahwin kelantan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,178,1,6.92,0.562,yes,true,1,false,true,3.112,0.181,2026-08-02T06:31:18Z,dod
garden wedding,garden-wedding,other,unknown,/garden-wedding/,156,0,27.78,0.0,yes,false,,false,true,NA,NA,2026-08-26T14:26:00Z,dod
walimatul urus,walimatul-urus,other,definition,/artikel/ucapan-doa/walimatul-urus,151,1,10.09,0.662,yes,true,1,true,true,NA,NA,2026-08-19T02:32:33Z,dod
pusat komuniti setiawangsa,dewan-venue,navigational,navigational,/dewan-kahwin/,146,0,9.53,0.0,yes,false,,false,true,1.741,0.0,2026-07-18T13:28:17Z,dod
maksud walimatul urus,walimatul-urus,definition,definition,/artikel/ucapan-doa/walimatul-urus,129,1,9.58,0.775,yes,true,1,false,true,1.726,0.449,2026-08-02T11:35:15Z,dod
garden wedding malaysia,garden-wedding,other,unknown,/garden-wedding/,124,0,38.66,0.0,yes,false,,true,true,NA,NA,2026-07-23T09:45:15Z,dod
mas kahwin terengganu,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,121,4,6.34,3.306,yes,true,1,false,true,3.924,0.842,2026-07-28T15:06:55Z,dod
garden wedding kl,garden-wedding,other,unknown,/garden-wedding/,118,0,48.81,0.0,yes,false,,false,false,NA,NA,2026-08-25T06:49:34Z,dod
garden wedding kuala lumpur,garden-wedding,other,unknown,/garden-wedding/,111,0,46.07,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,dod
dewan komuniti setiawangsa,dewan-venue,navigational,navigational,/dewan-kahwin/,108,0,9.31,0.0,yes,false,,false,true,1.807,0.0,2026-08-13T09:21:08Z,dod
doa pengantin baru rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,92,8,4.26,8.696,yes,false,,false,true,6.654,1.307,2026-08-09T16:24:33Z,dod
mas kahwin negeri sembilan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,88,0,10.22,0.0,yes,true,1,false,true,NA,NA,2026-08-09T23:32:48Z,dod
mas kahwin sabah,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,82,0,12.57,0.0,yes,true,1,true,true,NA,NA,2026-08-20T22:45:20Z,dod
checklist kahwin,perancangan-kos,document,document,/artikel/venue-perancangan/checklist-kahwin,70,1,7.97,1.429,yes,false,,false,true,2.127,0.672,2026-08-04T11:48:31Z,dod
mas kahwin perak 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,67,1,7.46,1.493,NO DATA,unknown,,unknown,unknown,2.586,0.577,,dod
mas kahwin johor 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,67,0,7.25,0.0,NO DATA,unknown,,unknown,unknown,2.775,0.0,,dod
mas kahwin pahang 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,64,0,7.8,0.0,NO DATA,unknown,,unknown,unknown,2.28,0.0,,dod
mas kahwin kelantan 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,58,0,7.47,0.0,NO DATA,unknown,,unknown,unknown,2.577,0.0,,dod
mas kawin kelantan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,54,0,7.06,0.0,yes,true,1,true,true,2.946,0.0,2026-08-02T06:22:18Z,dod
mas kahwin sarawak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,44,0,6.82,0.0,yes,true,1,false,true,3.252,0.0,2026-07-29T21:36:08Z,dod
mas kahwin terengganu 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,41,0,7.9,0.0,NO DATA,unknown,,unknown,unknown,2.19,0.0,,dod
syarat sah nikah,nikah-undang-undang,other,document,/artikel/nikah-undang-undang/syarat-sah-nikah,38,0,10.71,0.0,yes,true,1,true,true,NA,NA,2026-08-12T05:28:23Z,dod
walimatul urus atau walimatulurus,walimatul-urus,other,unknown,/artikel/ucapan-doa/walimatul-urus,33,0,9.61,0.0,NO DATA,unknown,,unknown,unknown,1.717,0.0,,dod
hantaran kahwin 5 balas 7,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7,32,1,3.94,3.125,yes,true,1,false,true,7.38,0.423,2026-08-02T04:58:45Z,dod
mas kahwin melaka 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,32,0,11,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,dod
mas kahwin sabah 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,32,0,8.09,0.0,NO DATA,unknown,,unknown,unknown,2.082,0.0,,dod
mas kahwin negeri perak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,31,0,9.97,0.0,yes,true,1,true,true,1.609,0.0,2026-08-23T19:44:03Z,dod
mas kahwin negeri sembilan 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,31,0,8.87,0.0,NO DATA,unknown,,unknown,unknown,1.926,0.0,,dod
mas kahwin ikut negeri,mas-kahwin,number,number,/mas-kahwin-ikut-negeri/,29,0,14.48,0.0,yes,true,1,true,false,NA,NA,2026-08-27T05:39:43Z,dod
mas kahwin ikut negeri 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,28,0,10.89,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,dod
wedding garden,garden-wedding,other,unknown,/garden-wedding/,28,0,30.14,0.0,yes,false,,true,true,NA,NA,2026-08-14T03:00:08Z,dod
hantaran tunang 3 balas 5,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-tunang-3-balas-5,27,1,5.07,3.704,yes,true,1,false,true,5.051,0.733,2026-07-19T21:48:03Z,dod
garden wedding in kl,garden-wedding,other,unknown,/garden-wedding/,26,0,45.35,0.0,yes,false,,true,false,NA,NA,2026-08-13T19:56:43Z,dod
hantaran tunang untuk lelaki,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,26,0,13.38,0.0,yes,true,1,true,true,NA,NA,2026-08-24T03:09:16Z,dod
mas kawin perak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,26,0,10.77,0.0,yes,true,1,true,true,NA,NA,2026-08-03T20:30:27Z,dod
hantaran tunang untuk perempuan,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,25,1,8.88,4.0,yes,true,1,true,true,1.924,2.079,2026-08-28T05:56:47Z,dod
outdoor wedding venue,garden-wedding,navigational,navigational,/garden-wedding/,24,0,37.54,0.0,yes,true,1,false,true,NA,NA,2026-08-02T11:22:38Z,dod
hantaran tunang,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,23,0,14.87,0.0,yes,true,1,true,false,NA,NA,2026-08-27T08:11:22Z,dod
idea goodies kahwin,hiasan-dekorasi,document,document,/artikel/hiasan-dekorasi/goodies-kahwin,21,2,9.1,9.524,yes,true,1,false,false,1.87,5.093,2026-07-24T01:14:05Z,dod
garden wedding venue kl,garden-wedding,navigational,navigational,/garden-wedding/,21,0,44.19,0.0,yes,false,,false,false,NA,NA,2026-07-27T01:15:48Z,dod
mas kawin johor,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,21,0,6.33,0.0,yes,true,2,false,false,3.938,0.0,2026-08-15T11:54:30Z,dod
doa selepas akad nikah rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,20,0,10.6,0.0,yes,true,1,true,true,NA,NA,2026-08-25T15:49:45Z,dod
dulang hantaran tunang,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,19,1,7.95,5.263,yes,true,1,true,true,2.145,2.454,2026-08-11T12:17:11Z,extension
outdoor wedding locations,garden-wedding,other,navigational,/garden-wedding/,19,0,49.16,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
garden venue for wedding,garden-wedding,navigational,navigational,/garden-wedding/,18,0,44.94,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
hantaran tunang 5 balas 7,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7,18,0,7.83,0.0,yes,true,1,true,true,2.253,0.0,2026-08-25T02:46:06Z,extension
maskawin setiap negeri,mas-kahwin,number,number,/mas-kahwin-ikut-negeri/,18,0,9.89,0.0,NO DATA,unknown,,unknown,unknown,1.633,0.0,,extension
doa ubun isteri rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,17,0,4.82,0.0,NO DATA,unknown,,unknown,unknown,5.478,0.0,,extension
kos kahwin 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/hantaran-kahwin-bajet,17,0,6.94,0.0,NO DATA,unknown,,unknown,unknown,3.084,0.0,,extension
mas kahwin negeri kelantan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,17,0,5,0.0,yes,false,,true,false,5.1,0.0,2026-08-27T00:34:36Z,extension
mas kahwin setiap negeri 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,17,0,10.18,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
outdoor wedding places,garden-wedding,other,navigational,/garden-wedding/,17,0,47.94,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin negeri terengganu,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,14,0,5.5,0.0,NO DATA,unknown,,unknown,unknown,4.75,0.0,,extension
doa pengantin,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,13,1,14.77,7.692,yes,true,1,false,true,NA,NA,2026-08-01T23:13:00Z,extension
doa selamat untuk pengantin baru,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,13,0,8.54,0.0,NO DATA,unknown,,unknown,unknown,1.992,0.0,,extension
mas kahwin perlis,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,13,0,11.08,0.0,yes,true,1,true,true,NA,NA,2026-08-02T15:08:30Z,extension
mahar johor,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,12,0,7.83,0.0,NO DATA,unknown,,unknown,unknown,2.253,0.0,,extension
mas kahwin sarawak 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,12,0,7.67,0.0,NO DATA,unknown,,unknown,unknown,2.397,0.0,,extension
hantaran kahwin 3 balas 5,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-tunang-3-balas-5,11,0,7.82,0.0,yes,true,1,false,true,2.262,0.0,2026-08-22T12:28:06Z,extension
mas kahwin negeri perak 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,11,0,6.73,0.0,NO DATA,unknown,,unknown,unknown,3.378,0.0,,extension
mas kawin sabah,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,11,0,21.91,0.0,yes,true,1,false,true,NA,NA,2026-08-15T21:39:57Z,extension
doa majlis pertunangan jakim,doa-ucapan,document,document,/artikel/sebelum-nikah/doa-majlis-pertunangan,10,0,10.4,0.0,yes,false,,true,false,NA,NA,2026-08-04T20:38:03Z,extension
makna walimatul urus,walimatul-urus,other,definition,/artikel/ucapan-doa/walimatul-urus,10,0,8.9,0.0,NO DATA,unknown,,unknown,unknown,1.92,0.0,,extension
mas kahwin kedah 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,10,0,9.9,0.0,NO DATA,unknown,,unknown,unknown,1.63,0.0,,extension
mas kahwin kuala lumpur 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,10,0,10.5,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
dulang hantaran 5 balas 7,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7,9,1,4.89,11.111,yes,true,1,false,false,5.331,2.084,2026-08-15T00:56:05Z,extension
hantaran lelaki 3 perempuan 5,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang-3-balas-5,9,0,3.22,0.0,NO DATA,unknown,,unknown,unknown,9.54,0.0,,extension
hantaran tunang untuk lelaki simple,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,9,0,10.11,0.0,yes,true,1,false,false,NA,NA,2026-07-25T22:40:47Z,extension
lafaz taklik nikah perak,nikah-undang-undang,document,document,/artikel/nikah-undang-undang/lafaz-taklik,9,0,9.22,0.0,NO DATA,unknown,,unknown,unknown,1.834,0.0,,extension
maksud walimatul urus dalam islam,walimatul-urus,definition,definition,/artikel/ucapan-doa/walimatul-urus,9,0,9.78,0.0,NO DATA,unknown,,unknown,unknown,1.666,0.0,,extension
bacaan doa pengantin,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,8,0,9.88,0.0,NO DATA,unknown,,unknown,unknown,1.636,0.0,,extension
garden wedding venues,garden-wedding,other,navigational,/garden-wedding/,8,0,35.75,0.0,yes,false,,false,true,NA,NA,2026-07-21T04:42:17Z,extension
hantaran ikut negeri,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin,8,0,10.25,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
