query,cluster,intent_class,intent_class_gate,landing_page,impressions,clicks,position,actual_ctr_pct,serp_data,ai_overview_present,ai_overview_position,paa_present,image_pack_present,expected_ctr_pct,ratio_actual_over_expected,serp_update_date,tier
pusat komuniti setiawangsa,dewan-venue,navigational,navigational,/dewan-kahwin/,172,0,9.53,0.0,yes,false,,false,true,1.741,0.0,2026-07-18T13:28:17Z,dod
garden wedding,garden-wedding,other,unknown,/garden-wedding/,159,0,28.67,0.0,yes,false,,false,true,NA,NA,2026-08-26T14:26:00Z,dod
mas kahwin johor,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,152,1,6.34,0.658,yes,true,3,true,true,3.924,0.168,2026-08-09T11:35:09Z,dod
mas kahwin perak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,141,0,8.23,0.0,yes,true,1,true,true,2.054,0.0,2026-08-20T04:52:59Z,dod
walimatul urus maksud,walimatul-urus,definition,definition,/artikel/ucapan-doa/walimatul-urus,129,0,8.72,0.0,yes,true,1,false,true,1.956,0.0,2026-08-05T15:01:54Z,dod
garden wedding malaysia,garden-wedding,other,unknown,/garden-wedding/,123,0,40.22,0.0,yes,false,,true,true,NA,NA,2026-07-23T09:45:15Z,dod
mas kahwin kelantan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,122,1,6.87,0.82,yes,true,1,false,true,3.182,0.258,2026-08-02T06:31:18Z,dod
walimatul urus,walimatul-urus,other,definition,/artikel/ucapan-doa/walimatul-urus,119,1,9.94,0.84,yes,true,1,true,true,1.618,0.519,2026-08-19T02:32:33Z,dod
garden wedding kl,garden-wedding,other,unknown,/garden-wedding/,116,0,49.35,0.0,yes,false,,false,false,NA,NA,2026-08-25T06:49:34Z,dod
dewan komuniti setiawangsa,dewan-venue,navigational,navigational,/dewan-kahwin/,108,0,9.31,0.0,yes,false,,false,true,1.807,0.0,2026-08-13T09:21:08Z,dod
garden wedding kuala lumpur,garden-wedding,other,unknown,/garden-wedding/,108,0,46.56,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,dod
doa pengantin baru rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,84,8,3.74,9.524,yes,false,,false,true,7.98,1.193,2026-08-09T16:24:33Z,dod
mas kahwin terengganu,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,80,3,6.26,3.75,yes,true,1,false,true,4.036,0.929,2026-07-28T15:06:55Z,dod
maksud walimatul urus,walimatul-urus,definition,definition,/artikel/ucapan-doa/walimatul-urus,68,1,9.01,1.471,yes,true,1,false,true,1.897,0.775,2026-08-02T11:35:15Z,dod
mas kahwin negeri sembilan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,54,0,9.78,0.0,yes,true,1,false,true,1.666,0.0,2026-08-09T23:32:48Z,dod
mas kahwin perak 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,47,1,7.17,2.128,NO DATA,unknown,,unknown,unknown,2.847,0.747,,dod
mas kahwin pahang 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,46,0,7.85,0.0,NO DATA,unknown,,unknown,unknown,2.235,0.0,,dod
mas kahwin sabah,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,46,0,13.07,0.0,yes,true,1,true,true,NA,NA,2026-08-20T22:45:20Z,dod
mas kahwin johor 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,42,0,6.9,0.0,NO DATA,unknown,,unknown,unknown,3.14,0.0,,dod
checklist kahwin,perancangan-kos,document,document,/artikel/venue-perancangan/checklist-kahwin,39,1,8.03,2.564,yes,false,,false,true,2.094,1.224,2026-08-04T11:48:31Z,dod
mas kahwin kelantan 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,35,0,7.46,0.0,NO DATA,unknown,,unknown,unknown,2.586,0.0,,dod
mas kawin kelantan,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,33,0,7,0.0,yes,true,1,true,true,3.0,0.0,2026-08-02T06:22:18Z,dod
mas kahwin sarawak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,30,0,6.7,0.0,yes,true,1,false,true,3.42,0.0,2026-07-29T21:36:08Z,dod
wedding garden,garden-wedding,other,unknown,/garden-wedding/,29,0,30.21,0.0,yes,false,,true,true,NA,NA,2026-08-14T03:00:08Z,dod
mas kahwin ikut negeri,mas-kahwin,number,number,/mas-kahwin-ikut-negeri/,28,0,13.54,0.0,yes,true,1,true,false,NA,NA,2026-08-27T05:39:43Z,dod
garden wedding in kl,garden-wedding,other,unknown,/garden-wedding/,25,0,45.56,0.0,yes,false,,true,false,NA,NA,2026-08-13T19:56:43Z,dod
outdoor wedding venue,garden-wedding,navigational,navigational,/garden-wedding/,24,0,38.08,0.0,yes,true,1,false,true,NA,NA,2026-08-02T11:22:38Z,dod
hantaran tunang untuk perempuan,mas-kahwin,other,document,/artikel/hantaran-mas-kahwin/hantaran-tunang,21,1,9.24,4.762,yes,true,1,true,true,1.828,2.605,2026-08-28T05:56:47Z,dod
mas kahwin terengganu 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-kelantan-terengganu,21,0,8.29,0.0,NO DATA,unknown,,unknown,unknown,2.042,0.0,,dod
hantaran kahwin 5 balas 7,mas-kahwin,document,document,/artikel/hantaran-mas-kahwin/hantaran-kahwin-5-balas-7,20,1,3.8,5.0,yes,true,1,false,true,7.8,0.641,2026-08-02T04:58:45Z,dod
doa selepas akad nikah rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,20,0,10.6,0.0,yes,true,1,true,true,NA,NA,2026-08-25T15:49:45Z,dod
mas kahwin negeri sembilan 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-pahang-negeri-sembilan,20,0,8.35,0.0,NO DATA,unknown,,unknown,unknown,2.03,0.0,,dod
outdoor wedding locations,garden-wedding,other,navigational,/garden-wedding/,20,0,48.25,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,dod
idea goodies kahwin,hiasan-dekorasi,document,document,/artikel/hiasan-dekorasi/goodies-kahwin,19,2,9.16,10.526,yes,true,1,false,false,1.852,5.684,2026-07-24T01:14:05Z,extension
garden wedding venue kl,garden-wedding,navigational,navigational,/garden-wedding/,19,0,46.32,0.0,yes,false,,false,false,NA,NA,2026-07-27T01:15:48Z,extension
mas kahwin negeri perak,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-perak,19,0,12.21,0.0,yes,true,1,true,true,NA,NA,2026-08-23T19:44:03Z,extension
outdoor wedding places,garden-wedding,other,navigational,/garden-wedding/,19,0,48.47,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
syarat sah nikah,nikah-undang-undang,other,document,/artikel/nikah-undang-undang/syarat-sah-nikah,19,0,10.74,0.0,yes,true,1,true,true,NA,NA,2026-08-12T05:28:23Z,extension
garden venue for wedding,garden-wedding,navigational,navigational,/garden-wedding/,18,0,45.06,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin ikut negeri 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-ikut-negeri,18,0,11.06,0.0,NO DATA,unknown,,unknown,unknown,NA,NA,,extension
mas kahwin sabah 2026,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-sabah-sarawak,18,0,8.17,0.0,NO DATA,unknown,,unknown,unknown,2.066,0.0,,extension
mas kawin johor,mas-kahwin,number,number,/artikel/hantaran-mas-kahwin/mas-kahwin-johor,17,0,6.35,0.0,yes,true,2,false,false,3.91,0.0,2026-08-15T11:54:30Z,extension
maskawin setiap negeri,mas-kahwin,number,number,/mas-kahwin-ikut-negeri/,17,0,9.82,0.0,NO DATA,unknown,,unknown,unknown,1.654,0.0,,extension
walimatul urus atau walimatulurus,walimatul-urus,other,unknown,/artikel/ucapan-doa/walimatul-urus,17,0,9.82,0.0,NO DATA,unknown,,unknown,unknown,1.654,0.0,,extension
doa ubun isteri rumi,doa-ucapan,document,document,/artikel/ucapan-doa/doa-pengantin-baru,15,0,4.67,0.0,NO DATA,unknown,,unknown,unknown,5.793,0.0,,extension
